,Observed,Expected,Probability
0,50,50.5,0.069
1,149,134.9,0.185
2,163,180.3,0.247
3,155,160.7,0.22
4,115,107.4,0.147
5,60,57.4,0.079
6,23,25.6,0.035
7,12,9.8,0.013
8,4,4.6,0.006
